,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
319,Memphis Grizzlies,100,2013-12-12 01:00:00,Oklahoma City Thunder,116
320,Milwaukee Bucks,77,2013-12-12 01:00:00,San Antonio Spurs,109
321,Minnesota Timberwolves,106,2013-12-12 01:00:00,Philadelphia 76ers,99
322,New Orleans Pelicans,111,2013-12-12 01:00:00,Detroit Pistons,106
323,New York Knicks,83,2013-12-12 01:00:00,Chicago Bulls,78
324,Sacramento Kings,101,2013-12-12 03:00:00,Utah Jazz,122
325,Brooklyn Nets,102,2013-12-13 01:00:00,Los Angeles Clippers,93
326,Portland Trail Blazers,111,2013-12-13 03:30:00,Houston Rockets,104
327,Atlanta Hawks,101,2013-12-14 00:30:00,Washington Wizards,99
328,Boston Celtics,90,2013-12-14 00:30:00,New York Knicks,86
329,Denver Nuggets,93,2013-12-14 02:00:00,Utah Jazz,103
330,Detroit Pistons,103,2013-12-14 00:30:00,Brooklyn Nets,99
331,Golden State Warriors,112,2013-12-14 03:30:00,Houston Rockets,116
332,Indiana Pacers,99,2013-12-14 00:00:00,Charlotte Bobcats,94
333,Milwaukee Bucks,90,2013-12-14 01:30:00,Chicago Bulls,91
334,New Orleans Pelicans,104,2013-12-14 01:00:00,Memphis Grizzlies,98
335,Oklahoma City Thunder,122,2013-12-14 01:00:00,Los Angeles Lakers,97
336,Orlando Magic,100,2013-12-14 00:00:00,Cleveland Cavaliers,109
337,Phoenix Suns,116,2013-12-14 02:00:00,Sacramento Kings,107
338,San Antonio Spurs,117,2013-12-14 01:30:00,Minnesota Timberwolves,110
339,Toronto Raptors,108,2013-12-14 00:00:00,Philadelphia 76ers,100
340,Charlotte Bobcats,85,2013-12-15 00:00:00,Los Angeles Lakers,88
341,Chicago Bulls,77,2013-12-15 01:00:00,Toronto Raptors,99
342,Dallas Mavericks,106,2013-12-15 01:30:00,Milwaukee Bucks,93
343,Miami Heat,114,2013-12-15 00:30:00,Cleveland Cavaliers,107
344,New York Knicks,111,2013-12-15 00:30:00,Atlanta Hawks,106
345,Philadelphia 76ers,105,2013-12-15 01:00:00,Portland Trail Blazers,139
346,Utah Jazz,84,2013-12-15 02:00:00,San Antonio Spurs,100
347,Washington Wizards,97,2013-12-15 00:00:00,Los Angeles Clippers,113
348,Denver Nuggets,102,2013-12-16 01:00:00,New Orleans Pelicans,93
349,Detroit Pistons,109,2013-12-15 23:00:00,Portland Trail Blazers,111
350,Memphis Grizzlies,93,2013-12-15 23:00:00,Minnesota Timberwolves,101
351,Oklahoma City Thunder,101,2013-12-16 00:00:00,Orlando Magic,98
352,Phoenix Suns,106,2013-12-16 01:00:00,Golden State Warriors,102
353,Sacramento Kings,106,2013-12-15 23:00:00,Houston Rockets,91
354,Atlanta Hawks,114,2013-12-17 00:30:00,Los Angeles Lakers,100
355,Boston Celtics,101,2013-12-17 00:30:00,Minnesota Timberwolves,97
356,Brooklyn Nets,130,2013-12-17 00:30:00,Philadelphia 76ers,94
357,Chicago Bulls,82,2013-12-17 01:00:00,Orlando Magic,83
358,Indiana Pacers,96,2013-12-17 00:00:00,Detroit Pistons,101
